Customer ID,Tenure,Geography ID,Completed tutorial,Subscription ID,Role,Company ID,Rating,Theme,Original Score
10000000,7.0,2,yes,2,1,2,High,speed,9
10000001,9.0,1,yes,2,1,1,High,features,10
10000002,7.0,1,yes,1,1,2,High,design,9
10000003,24.0,4,yes,2,1,2,High,price,10
10000004,6.0,4,no,2,1,1,High,governance,9
10000005,21.0,2,yes,2,1,2,High,speed,10
10000006,26.0,2,yes,1,1,1,High,speed,7
10000007,18.0,2,yes,2,1,3,High,design,10
10000008,12.0,3,yes,2,1,2,High,security,6
10000009,9.0,1,yes,2,1,1,High,features,6
10000010,13.0,1,yes,2,1,3,High,reliability,7
10000011,10.0,1,yes,2,1,1,High,reliability,9
10000012,15.0,1,yes,2,1,2,High,features,8
10000013,23.0,4,yes,2,1,2,High,features,6
10000014,17.0,1,yes,2,1,2,High,services,10
10000015,18.0,3,yes,2,1,2,High,security,6
10000016,16.0,4,yes,2,1,1,High,reliability,6
10000017,0.0,3,yes,2,1,2,High,price,8
10000018,53.0,3,yes,2,1,2,High,security,10
10000019,19.0,1,yes,2,1,2,High,services,6
10000020,10.0,1,yes,1,1,2,High,price,10
10000021,21.0,2,yes,2,1,2,High,speed,8
10000022,18.0,3,yes,1,1,1,High,price,7
10000023,44.0,1,yes,2,1,2,High,services,8
10000024,8.0,3,yes,1,1,2,High,security,8
10000025,22.0,1,yes,2,1,2,High,reliability,10
10000026,0.0,2,yes,2,1,1,High,speed,10
10000027,11.0,1,yes,1,1,2,High,design,10
10000028,2.0,1,yes,2,1,1,High,speed,10
10000029,29.0,1,yes,1,1,1,High,features,6
10000030,24.0,1,no,1,1,2,High,features,10
10000031,3.0,2,yes,2,1,2,High,speed,9
10000032,48.0,1,yes,1,1,2,High,reliability,8
10000033,2.0,1,yes,2,1,2,High,price,10
10000034,18.0,2,yes,2,1,2,High,speed,7
10000035,26.0,1,yes,2,1,3,High,features,6
10000036,32.0,1,yes,2,1,2,High,price,7
10000037,28.0,1,no,2,1,2,High,features,7
10000038,19.0,1,yes,2,1,3,High,reliability,9
10000039,25.0,1,yes,2,1,1,High,reliability,7
10000040,18.0,1,yes,2,1,3,High,services,8
10000041,19.0,1,yes,2,1,2,High,speed,8
10000042,43.0,4,yes,2,1,2,High,price,7
10000043,4.0,1,yes,2,1,2,High,security,7
10000044,29.0,4,yes,2,1,2,High,security,7
10000045,8.0,3,yes,2,1,1,High,reliability,9
10000046,7.0,2,yes,2,1,2,High,support,6
10000047,9.0,1,yes,2,1,2,High,features,10
10000048,23.0,1,no,2,1,3,High,features,6
